,Day,Month,Year,1St,hundredth,tenth,oneth,sum
63,16,3,2561,218559,5,5,9,20
64,2,3,2561,759415,4,1,5,10
65,16,2,2561,309915,9,1,5,15
66,1,2,2561,26853,8,5,3,16
67,17,1,2561,203823,8,2,3,13
68,30,12,2560,911234,2,3,4,9
69,16,12,2560,955596,5,9,6,21
70,1,12,2560,451005,0,0,5,5
71,16,11,2560,292391,3,9,1,14
72,1,11,2560,533726,7,2,6,15
73,16,10,2560,413494,4,9,4,18
74,1,10,2560,880714,7,1,4,12
75,16,9,2560,170143,1,4,3,8
76,1,9,2560,143224,2,2,4,8
77,16,8,2560,715431,4,3,1,8
78,1,8,2560,756519,5,1,9,16
79,16,7,2560,820327,3,2,7,12
80,1,7,2560,112360,3,6,0,9
81,16,6,2560,943142,1,4,2,7
82,1,6,2560,53630,6,3,0,9
83,16,5,2560,454891,8,9,1,19
84,2,5,2560,8656,6,5,6,18
85,16,4,2560,816729,7,2,9,19
86,1,4,2560,392785,7,8,5,21
87,16,3,2560,273863,8,6,3,17
88,1,3,2560,978453,4,5,3,12
89,16,2,2560,229116,1,1,6,8
90,1,2,2560,54672,6,7,2,15
91,17,1,2560,145157,1,5,7,14
92,30,12,2559,377712,7,1,2,10
93,16,12,2559,435286,2,8,6,17
94,1,12,2559,86069,0,6,9,16
95,16,11,2559,858383,3,8,3,15
96,1,11,2559,785438,4,3,8,16
97,16,10,2559,571947,9,4,7,21
98,1,10,2559,887102,1,0,2,3
99,16,9,2559,240650,6,5,0,11
100,1,9,2559,638684,6,8,4,19
101,16,8,2559,254004,0,0,4,4
102,1,8,2559,272932,9,3,2,14
103,16,7,2559,449764,7,6,4,18
104,1,7,2559,82460,4,6,0,10
105,16,6,2559,73816,8,1,6,15
106,1,6,2559,511825,8,2,5,15
107,16,5,2559,141737,7,3,7,18
108,2,5,2559,399459,4,5,9,19
109,16,4,2559,221609,6,0,9,15
110,1,4,2559,66720,7,2,0,9
111,16,3,2559,134918,9,1,8,18
112,1,3,2559,439686,6,8,6,21
113,16,2,2559,356364,3,6,4,14
114,1,2,2559,927800,8,0,0,8
115,17,1,2559,304371,3,7,1,11
116,30,12,2558,8217,2,1,7,10
117,17,12,2558,930255,2,5,5,13
118,1,12,2558,915350,3,5,0,8
119,16,11,2558,795283,2,8,3,14
120,1,11,2558,361211,2,1,1,4
121,16,10,2558,968630,6,3,0,9
122,1,10,2558,594825,8,2,5,15
123,16,9,2558,743148,1,4,8,14
124,1,9,2558,21094,0,9,4,14
125,16,8,2558,33363,3,6,3,12
126,1,8,2558,518677,6,7,7,21
127,16,7,2558,121507,5,0,7,12
128,1,7,2558,759049,0,4,9,14
129,16,6,2558,644742,7,4,2,13
130,2,6,2558,388881,8,8,1,17
131,16,5,2558,11421,4,2,1,7
132,2,5,2558,543466,4,6,6,17
133,16,4,2558,506260,2,6,0,8
134,1,4,2558,605704,7,0,4,11
135,16,3,2558,48151,1,5,1,7
136,1,3,2558,240237,2,3,7,13
137,16,2,2558,1864,8,6,4,19
138,1,2,2558,155537,5,3,7,16
139,16,1,2558,244351,3,5,1,9
140,30,12,2557,461704,7,0,4,11
141,16,12,2557,948354,3,5,4,12
142,1,12,2557,480449,4,4,9,18
143,16,11,2557,479804,8,0,4,12
144,1,11,2557,206608,6,0,8,14
145,16,10,2557,656409,4,0,9,13
146,1,10,2557,375615,6,1,5,12
147,16,9,2557,772269,2,6,9,18
148,1,9,2557,856763,7,6,3,16
149,16,8,2557,662842,8,4,2,14
150,1,8,2557,766391,3,9,1,14
151,16,7,2557,468728,7,2,8,18
152,1,7,2557,378477,4,7,7,19
153,16,6,2557,673920,9,2,0,11
154,1,6,2557,781198,1,9,8,19
155,16,5,2557,87523,5,2,3,10
156,2,5,2557,103297,2,9,7,19
157,16,4,2557,153406,4,0,6,10
158,1,4,2557,28866,8,6,6,21
159,16,3,2557,531404,4,0,4,8
160,1,3,2557,906318,3,1,8,12
161,16,2,2557,384245,2,4,5,11
162,1,2,2557,180149,1,4,9,15
163,16,1,2557,306902,9,0,2,11
164,30,12,2556,561072,0,7,2,9
165,16,12,2556,341767,7,6,7,21
166,1,12,2556,168795,7,9,5,22
167,16,11,2556,806925,9,2,5,16
168,1,11,2556,739804,8,0,4,12
169,16,10,2556,963289,2,8,9,20
170,1,10,2556,647882,8,8,2,19
171,16,9,2556,562684,6,8,4,19
172,1,9,2556,548123,1,2,3,6
173,16,8,2556,321327,3,2,7,12
174,1,8,2556,356435,4,3,5,12
175,16,7,2556,566996,9,9,6,25
176,1,7,2556,646905,9,0,5,14
177,16,6,2556,289673,6,7,3,17
178,1,6,2556,935489,4,8,9,22
179,16,5,2556,687125,1,2,5,8
180,2,5,2556,603458,4,5,8,18
181,16,4,2556,843846,8,4,6,19
182,1,4,2556,571688,6,8,8,23
183,16,3,2556,968433,4,3,3,10
184,1,3,2556,976241,2,4,1,7
