,Day,Month,Year,1St,hundredth,tenth,oneth,sum
687,16,3,2535,1218353,3,5,3,11
688,1,3,2535,7291524,5,2,4,11
689,16,2,2535,1868701,7,0,1,8
690,1,2,2535,5986924,9,2,4,15
691,16,1,2535,1149428,4,2,8,15
692,30,12,2534,3208301,3,0,1,4
693,16,12,2534,7241436,4,3,6,13
694,1,12,2534,1470741,7,4,1,12
695,16,11,2534,4373528,5,2,8,16
696,1,11,2534,7894285,2,8,5,16
697,16,10,2534,2078202,2,0,2,4
698,1,10,2534,2730444,4,4,4,12
699,16,9,2534,4790449,4,4,9,18
700,1,9,2534,6700430,4,3,0,7
701,16,8,2534,3746551,5,5,1,11
702,1,8,2534,6580541,5,4,1,10
703,16,7,2534,1671946,9,4,6,20
704,1,7,2534,4441724,7,2,4,13
705,16,6,2534,5364632,6,3,2,11
706,1,6,2534,2496376,3,7,6,17
707,16,5,2534,2532303,3,0,3,6
708,2,5,2534,4222124,1,2,4,7
709,16,4,2534,4824037,0,3,7,11
710,1,4,2534,1606864,8,6,4,19
711,16,3,2534,5891641,6,4,1,11
712,1,3,2534,4598076,0,7,6,14
713,16,2,2534,3223780,7,8,0,15
714,1,2,2534,5396496,4,9,6,20
715,16,1,2534,5328736,7,3,6,16
716,30,12,2533,2190949,9,4,9,23
717,16,12,2533,4407799,7,9,9,26
718,1,12,2533,4771944,9,4,4,17
719,16,11,2533,1226536,5,3,6,14
720,1,11,2533,4380230,2,3,0,5
721,16,10,2533,5626303,3,0,3,6
722,1,10,2533,5738808,8,0,8,16
723,16,9,2533,5202390,3,9,0,12
724,1,9,2533,1622380,3,8,0,11
725,16,8,2533,1671935,9,3,5,17
726,1,8,2533,1867185,1,8,5,15
727,16,7,2533,3814178,1,7,8,17
728,1,7,2533,1076835,8,3,5,16
729,16,6,2533,3530344,3,4,4,11
730,1,6,2533,2355474,4,7,4,16
731,16,5,2533,5071272,2,7,2,11
732,2,5,2533,5898868,8,6,8,23
733,16,4,2533,5092890,8,9,0,17
734,1,4,2533,4734251,2,5,1,8
735,16,3,2533,3240205,2,0,5,7
736,1,3,2533,4968902,9,0,2,11
737,16,2,2533,3732892,8,9,2,20
738,1,2,2533,1078496,4,9,6,20
739,16,1,2533,3992239,2,3,9,15
